139	教父3	45	9.0	311235	
140	玩具总动员3	45	8.9	440111	
141	釜山行	45	8.6	1031494	
142	恐怖直播	45	8.7	565801	
143	一个叫欧维的男人决定去死	45	8.9	375926	
144	哪吒闹海	45	9.1	220680	
145	被解救的姜戈	45	8.8	523737	
146	血战钢锯岭	45	8.7	690018	
147	未麻的部屋	45	9.0	261130	
148	头号玩家	45	8.7	1195320	
149	我是山姆	45	9.0	281054	
150	寄生虫	45	8.8	1189090	
151	七武士	45	9.3	167294	
152	喜宴	45	8.9	298293	
153	新世界	45	8.9	331447	
154	电锯惊魂	45	8.8	454220	
155	哈利·波特与火焰杯	45	8.7	524296	
156	模仿游戏	45	8.7	540193	
157	黑客帝国3：矩阵革命	45	8.8	382314	
158	花样年华	45	8.7	508083	
159	卢旺达饭店	45	8.9	277938	
160	上帝之城	45	9.0	267560	
161	三块广告牌	45	8.7	719343	
162	风之谷	45	8.9	318598	
163	疯狂原始人	45	8.7	744848	
164	你的名字。	45	8.5	1203961	
165	谍影重重3	45	8.8	368687	
166	英雄本色	45	8.6	456131	
167	头脑特工队	45	8.7	517461	
168	达拉斯买家俱乐部	45	8.8	391528	
169	纵横四海	45	8.8	359790	
170	心迷宫	45	8.7	436403	
171	岁月神偷	45	8.7	521894	
172	记忆碎片	45	8.7	532681	
173	惊魂记	45	9.0	230166	
174	忠犬八公物语	45	9.2	166722	
175	海街日记	45	8.8	374393	
176	荒蛮故事	45	8.8	379675	
177	九品芝麻官	45	8.6	546486	
178	爆裂鼓手	45	8.7	495136	
179	贫民窟的百万富翁	45	8.6	659933	
180	真爱至上	45	8.6	629036	
181	东邪西毒	45	8.6	511647	
182	绿里奇迹	45	8.9	269429	
183	小偷家族	45	8.7	721115	
184	爱在午夜降临前	45	8.8	319593	
185	无敌破坏王	45	8.7	462335	
186	黑天鹅	45	8.6	711489	
187	冰川时代	45	8.6	539404	
188	你看起来好像很好吃	45	8.9	292663	
189	疯狂的石头	45	8.5	702888	
190	萤火虫之墓	45	8.7	367262	
191	色，戒	45	8.5	628193	
192	雨人	45	8.7	357638	
193	雨中曲	45	9.1	183057	
194	恐怖游轮	45	8.5	701347	
195	恋恋笔记本	45	8.6	575508	
196	魔女宅急便	45	8.7	397954	
197	2001太空漫游	45	8.9	263665	
198	城市之光	45	9.3	120129	
199	可可西里	45	8.8	259679	
200	虎口脱险	45	8.9	213718	
201	人工智能	45	8.7	383657	
202	二十二	45	8.7	263495	
203	遗愿清单	45	8.7	363566	
204	初恋这件小事	4	8.4	884163	
205	海边的曼彻斯特	45	8.6	426195	
206	大佛普拉斯	45	8.7	367874	
207	奇迹男孩	45	8.6	494311	
208	罗生门	45	8.8	268490	
209	终结者2：审判日	45	8.8	300712	
210	牯岭街少年杀人事件	45	8.9	234532	
211	房间	45	8.8	333365	
212	无间道2	45	8.7	380571	
213	源代码	45	8.5	714282	
214	青蛇	45	8.6	451861	
215	东京教父	45	9.0	168425	
216	新龙门客栈	45	8.6	384400	
217	疯狂的麦克斯4：狂暴之路	45	8.6	455853	
218	魂断蓝桥	45	8.8	241189	
219	波西米亚狂想曲	45	8.7	508377	
220	无耻混蛋	45	8.6	412960	
221	步履不停	45	8.8	236972	
222	血钻	45	8.7	322116	
223	茶馆	5	9.5	85082	
224	彗星来的那一夜	45	8.5	468737	
225	千钧一发	45	8.8	239594	
226	战争之王	45	8.7	311783	
227	燃情岁月	45	8.8	253561	
228	黑客帝国2：重装上阵	45	8.6	342534	
229	谍影重重2	45	8.7	309228	
230	崖上的波妞	45	8.6	407697	
231	背靠背，脸对脸	5	9.5	86818	
232	海洋	45	9.1	144512	
233	小丑	45	8.7	867620	
234	阿飞正传	45	8.5	436692	
235	穿越时空的少女	45	8.6	339603	
236	谍影重重	45	8.6	370693	
237	地球上的星星	45	8.9	181393	
238	香水	45	8.5	486172	
239	再次出发之纽约遇见你	45	8.6	371804	
240	完美陌生人	45	8.5	469928	
241	我爱你	45	9.1	144206	
242	爱乐之城	4	8.4	731996	
243	朗读者	45	8.6	411050	
244	火星救援	45	8.5	611202	
245	聚焦	45	8.8	244248	
246	小萝莉的猴神大叔	4	8.4	433692	
247	驴得水	4	8.3	806490	
248	浪潮	45	8.7	239517	
249	猜火车	45	8.6	375898	
250	千年女优	45	8.8	207299	
